Before I Wake (2016),Alabama,6.2,,A couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.
Body Snatchers (1993),Alabama,5.9,,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.
Burning Bright (2010),Alabama,5.8,,A thriller centered on a young woman and her autistic little brother who are trapped in a house with a ravenous tiger during a hurricane.
Camp Massacre (2014),Alabama,3.3,,Ten obese men appear on a competitive reality show geared toward weight-loss. As contestants disappear in the night it becomes apparent that a killer is on the loose.
Dead Birds (2004),Alabama,5.7,,A group of Confederate soldiers hole up in an abandoned plantation after robbing a bank and find themselves at the mercy of supernatural forces.
Demon Squad (2019),Alabama,4.4,,"Nick Moon, P.I. (Paranormal Investigator), delves into a hidden world of monsters and creatures of the night as he takes on a case to retrieve an ancient artifact with astonishing power."
House (2008),Alabama,4.5,,"In rural Alabama, two couples find themselves in a fight for survival. Running from a maniac (The Tin Man) bent on killing them, they flee deep into the woods and seek refuge in a house."
Hush (2016),Alabama,6.6,,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
It's Just a Game (2018),Alabama,3.4,,A teenage girl is kidnapped by a bizarre theatre cult intent on summoning an ancient witch.
Jaws of Satan (1981),Alabama,3.9,,"A preacher whose ancestors were cursed by Druids battles Satan, who has taken the form of a huge snake."
Karma (2018),Alabama,4.3,,"When recent college graduate Manny has trouble making ends meet, his father-in-law offers him a job evicting delinquent tenants. Manny soon finds himself unleashing a karma demon which stalks him at every turn."
Laid to Rest (2009),Alabama,5.2,,A young girl wakes up in a casket with a head injury and no memory of her identity. She quickly realizes she was abducted by a serial killer and she must fight to survive.
Mutant Species (1994),Alabama,3.5,,"A rocket containing bio-hazardous material crashes in a remote wooded area. An army team is sent to recover it, but one infected man mutates into a monster. Another escapes and tries to stop the monster and the army team sent ."
Oculus (2013),Alabama,6.5,,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
Soultaker (1990),Alabama,2.3,,"Four teenagers are killed in a car accident. Two of the teenagers refuse to go with ""The Grim Reaper"" and a race between life and death ensues!"
The Giant (2019),Alabama,4.2,,A teenager's small town life is changed forever when a series of murders begin on the same night that her missing boyfriend suddenly reappears.
The Supernaturals (1986),Alabama,4.3,,"Nichelle Nichols is an army sergeant who leads her platoon into the woods of the deep south on a training exercise. Unfortunately, it is the site where a bunch of yankee soldiers murdered a town of confederates. The corpses of the dead soldiers rise up to wreak revenge"
The Third Saturday in October (2022),Alabama,4.6,,"When a psycho goes on a murderous rampage after surviving a botched execution, only two survivors of his initial attack can stop him."
The Vanished (2020),Alabama,5.7,,"A husband and wife will stop at nothing to find their missing daughter, who disappeared on a family camping trip. When the police don't have any leads, the duo takes over."
Truth or Dare (2017),Alabama,5,,"Eight college friends head to a ""Haunted Rental"" for Halloween. But when they replay the game that made the house infamous, they awaken an evil spirit intent on stealing their souls."
Gerald's Game (2017),Alabama ,6.5,,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free."
Girl House (2014),Alabama ,5.5,,"A young college student desperate for tuition money moves into a house that streams content to an X-rated website. After a deranged fan determines the house's location, she finds herself in a terrifying fight for her life."
30 Days of Night (2007),Alaska,6.6,,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires."
Beast of the Bering Sea (2013),Alaska,3,,"With their father killed by a swarm of vampiric sea creatures, Bering Sea adventurers, Joe and Donna, team up with a marine biologist and her devoted deckhand to render the species extinct."
Claws (1977),Alaska,4.2,,"Hunters wound a grizzly bear in a national forest in Alaska. Soon after, the wounded bear goes off and kills several other hunters, hikers, campers, the sheriff and a little boy scout. Jason Evers sets out to stop it in the frozen plains of the Alaska mountains."
Feed the Devil (2015),Alaska,3.5,,A hunt for easy money turns into a deadly search for a missing loved one as outsiders confront the evil forces behind a native American myth.
Ghost Ship (2002),Alaska,5.6,,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board."
Harbinger Down (2015),Alaska,4.6,,"While studying the effects of global warming on a pod of whales, grad students on a crabbing vessel and its crew uncover frozen Soviet space shuttle and unintentionally release a monstrous organism from it."
Ice Road Terror (2011),Alaska,3.4,,"Two truckers driving across frozen Alaskan rivers to deliver equipment to a remote diamond mine, encounter a long-dormant prehistoric creature on the frozen ice."
Into the Grizzly Maze (2015),Alaska,5.3,,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.
Legion of Fire: Killer Ants! (1998),Alaska,2.9,,Killer ants from South America that eat the flesh of people attack a small town.
Moose (2015),Alaska,6,,"In the small town of Gangrene Gulch, Alaska, the new Park Ranger, Zach, arrives at his post just in time to investigate a string of suspicious deaths. He teams up with Mike the veteran ranger and Sam the beautiful and determined young coroner's assistant to solve the murders. The hilarious residents of the rural Alaskan town must turn to the rangers to save them from the half-man half-moose, moosataur."
The Barber (2002),Alaska,5.7,,"Town barber Dexter Miles is surprised to overhear, while cutting the hair of police chief Vance Corgan, that the body of a woman he murdered a few days before has been recovered. He had hope that the body would not be found until spring."
The Blackburn Asylum (2015),Alaska,3.8,,A forest fire and rock-slide trap five bickering college friends in a small Alaskan ghost town with a horrifying history. When they seek refuge inside the torched ruins of Blackburn Asylum they must fight its angry inhabitants to survive.
The Fourth Kind (2009),Alaska,5.9,,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up."
The Last Winter (2006),Alaska,5.5,,"Sent to evaluate the environmental impact of oil drilling in the Arctic, James Hoffman clashes with the drilling crew's chief, who wants to get the job done."
Unnatural (2015),Alaska,3.9,,"A morally ambiguous corporation experiments with genetic modification resulting in the creation of a man hunting creature. When it escapes, a group of unsuspecting cabin dwellers become its prey in a horrifying game of cat and mouse."
Wyvern (2009),Alaska,4.7,,A wyvern attacks a small Alaskan town
A Knife for the Ladies (1974),Arizona,4.5,,"A private detective travels out west to investigate the murders of several prostitutes, facing off against the reluctance of the town's grizzled sheriff, and several suspicious characters, each with something to hide."
Alien Raiders (2008),Arizona,5.6,,"A group enters a supermarket at closing time, shoots around and takes hostages. They believe aliens have arrived there then. Cops arrive outside."
Arachnia (2003),Arizona,3.4,,"When a small research plane carrying a group of science students and their professor crash-lands in the middle of nowhere, the survivors go to a nearby farmhouse to look for help but soon find themselves besieged by giant mutant spiders."
Blood in Them Hills (2025),Arizona,5.5,,"A bank robber, A Civil War doctor, a Midwife with a rifle, and a baby are trapped on cursed land, locked in a game of survival against hungry Cannibals, a murderous Outlaw Gang, and the ancient curse of a Wendigo Demon."
Blood of Dracula's Castle (1969),Arizona,3.6,,"Count Dracula and his wife capture beautiful young women and chain them in their dungeon, to be used when they need to satisfy their thirst for blood."
Bound by Blood (2024),Arizona,,,"Brothers Jay and Roy race against time, seeking to kill a monstrous creature that roams through the wilderness, before they eventually become just like it."
Bride of Violence (2018),Arizona,4.6,,"Dennis and Kate, a young Christian couple who are about to be married, go camping one weekend and run into an escaped convict named Berenger. Isolated in the wilderness, they are tortured and terrorized by this man, while Dennis continues to have apocalyptic visions from the Book of Revelations which may be coming true."
Bring It On: Cheer or Die (2022),Arizona,3.9,,"When a cheer squad practices their routines on Halloween weekend in an abandoned school, they are picked off one by one by an unknown killer."
Brothel (2008),Arizona,3.6,,"After her lover commits suicide, Julianne runs away from the city and moves in the ghost town of Jerome. She purchases an abandoned brothel and sets to work turning it into a hotel; but then she comes to know the ghosts of the brothel"
"Butcher, Baker, Nightmare Maker (1981)",Arizona,6.3,,An orphaned teenager finds himself being dominated by his aunt who's hell-bent on keeping him with her...at all costs.
Camp 139 (2013),Arizona,2.5,,"A drug fueled camping trip goes to hell when a militant killing machine stalks four teens through the wilderness, luring them toward an abandoned Army hospital."
Clown Motel (2023),Arizona,2.6,,"When Alma returns home to help her family get their Native American heritage recognized, all she finds is the World-Famous Clown Motel that has been erected on their land."
Creepshow 2 (1987),Arizona,6,Multiple Locations,"Three macabre tales from the latest issue of a boy's favorite comic book, dealing with a vengeful wooden Native American, a monstrous blob in a lake, and an undying hitchhiker."
Curse II: The Bite (1989),Arizona,4.8,,"After being bitten by a radioactive snake, a young man begins to spawn snake-like creatures with a vicious, murdeous nature."
Curve (2015),Arizona,5.4,,A soon-to-be bride on her way to a wedding rehearsal is having second thoughts and decides to take a detour. Car breaks down and a hitchiker offers help. Could it be fate?
Dark Figures (2020),Arizona,3.1,,Five friends accidentally awaken an ancient evil while hiking in Arizona. They must fight to survive both a demonic spirit and the small tribe who worships it.
Dead in Tombstone (2013),Arizona,4.8,,"A leader killed by his own gang, gets offered a chance by Satan himself to escape damnation."
Death of a Ghost Hunter (2007),Arizona,4.3,,"Renowned ""ghost hunter"", Carter Simms is paid to conduct a paranormal investigation of a supposedly haunted house. Along with a cameraman, a reporter, and a spiritual advocate, she embarks on a three night journey into terror."
Dorm of the Dead (2012),Arizona,2.6,,After a campus-wide zombie outbreak a slacker college student must protect his younger brother while becoming the unlikely leader of a small band of quirky survivors.
Eight Legged Freaks (2002),Arizona,5.4,,Venomous spiders get exposed to a noxious chemical that causes them to grow to monumental proportions.
Exit to Hell (2013),Arizona,3.6,,"A local gang rob a mafia run strip club, shooting up the place and killing anyone in sight. They head south for the border, but when they enter the town of Redstone and begin terrorizing the locals, they find that crime is a dish best served cold!"
From a Place of Darkness (2008),Arizona,3.5,,A documentary filmmaker finds himself drawn into the seedy world of a snuff filmmaker with a mysterious dark side.
Gargoyles (1972),Arizona,5.9,,"An anthropologist/paleontologist and his daughter, while travelling through the southwestern U.S., stumble upon a colony of living, breathing gargoyles."
Ghost Town (1988),Arizona,5.3,,"A modern-day deputy tracks an abducted girl to a ghost town, and the spirits of the past who took her."
Ghost Town (2009),Arizona,3.4,,A bus full of college students stumble across an abandoned western town and realize it is haunted by the ghosts of outlaws who brutally killed the residents and now kill visitors every 13 years on Friday the 13th to become stronger.
Ghost Warrior (2021),Arizona,,,"Over 200 people have died in the Superstition Mountains of Arizona in the last 150 years. Most attribute this to the curse of the Lost Dutchman’s Mine. An Apache Warrior Spirit is said to guard the mine and kill anyone who wonders near it. That is until the day that Jake Maloy a retired special forces operator stumbles into the area. The battle between the spirit world and a modern warrior is about to begin in, Ghost Warrior."
Goblin (2020),Arizona,3.1,,A young woman fights to protect her son from her abusive new husband and a ferocious creature lurking in the shadows.
Haunted (1977),Arizona,3.5,,"In Arizona during the Civil War, a woman is accused of witchcraft, tied to a horse, and left to die in the desert. One hundred years later, the descendants of the woman's accusers start being killed off, and the townspeople suspect that the woman has come back as an evil spirit."
Hellhounds (2024),Arizona,3.4,,A pack of werewolves known as the Hell Hounds wage a shadow war against a fanatical order of werewolf hunters called the Silver Bullets. The Hounds and the Bullets now roam the country appearing to the outside world as rival biker gangs.
Inside (2006),Arizona,5.3,,A man's interest in a couple leads to chilling and heartbreaking results.
